,date,value,index_name,index_description,unit,phase,phase_description,event,event_description
326,1983-08-01,-0.17,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
372,1983-09-01,-0.49,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
418,1983-10-01,-0.53,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
464,1983-11-01,-0.47,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
510,1983-12-01,-0.5,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
5,1984-01-01,-0.54,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
51,1984-02-01,-0.56,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
97,1984-03-01,-0.16,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
143,1984-04-01,0.07,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
189,1984-05-01,-0.45,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
235,1984-06-01,-0.66,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
281,1984-07-01,-0.34,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
327,1984-08-01,-0.2,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
373,1984-09-01,-0.14,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
419,1984-10-01,-0.19,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
465,1984-11-01,-0.58,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
511,1984-12-01,-0.28,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
6,1985-01-01,-0.25,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
52,1985-02-01,-0.58,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
98,1985-03-01,-0.6,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
144,1985-04-01,-0.76,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
190,1985-05-01,-1.23,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
236,1985-06-01,-0.67,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
282,1985-07-01,-0.1,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
328,1985-08-01,-0.49,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
374,1985-09-01,-0.56,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
420,1985-10-01,-0.08,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
466,1985-11-01,-0.06,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
512,1985-12-01,-0.42,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
7,1986-01-01,-0.4,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
53,1986-02-01,-0.34,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
99,1986-03-01,-0.4,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
145,1986-04-01,-0.53,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
191,1986-05-01,-0.26,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
237,1986-06-01,0.01,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
283,1986-07-01,0.41,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
329,1986-08-01,0.97,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
375,1986-09-01,1.29,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
421,1986-10-01,0.56,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
467,1986-11-01,0.64,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
513,1986-12-01,1.06,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
8,1987-01-01,1.03,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
54,1987-02-01,1.16,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
100,1987-03-01,1.57,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
146,1987-04-01,1.74,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
192,1987-05-01,1.96,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
238,1987-06-01,2.07,MEI,"Índice ENOS multivariante (MEI V2):El índice bimensual multivariante de El Niño/Oscilación Austral (ENOS) (MEI.v2) es la serie temporal de la función empírica ortogonal (EOF) combinada líder de cinco variables diferentes (presión a nivel del mar (SLP), temperatura de la superficie del mar (SST), componentes zonal y meridional del viento en superficie y radiación de onda larga saliente (OLR)) sobre la cuenca del Pacífico tropical (30°S-30°N y 100°E-70°W).",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
